bereich;n;score_median;score_mean;pct_kritisch
Online-Shops (11 Kategorien);288;36;41.5;53.5
Kommunen/ÖD;116;61.5;59.7;37.9
Reise/Buchung;123;43;46.5;48
Shop-Kategorie: garten;43;41;46.5;48.8
Shop-Kategorie: sport;40;30;36.4;50
Shop-Kategorie: schmuck;19;30;39.1;57.9
Shop-Kategorie: geschenke;17;38;39.7;52.9
Shop-Kategorie: tier;11;43;44.7;27.3
Shop-Kategorie: baumarkt;10;40.5;46.1;60
Shop-Kategorie: drogerie;19;51;51.8;42.1
Shop-Kategorie: spielwaren;13;37;37.1;53.8
Shop-Kategorie: buecher;36;40.5;44.6;50
Shop-Kategorie: haushalt;40;32.5;36.7;65
Shop-Kategorie: moebel;40;36.5;39.3;62.5
